(0, 0.0, 0, 'dark_water'),(30, 0.0, 0, 'dark_water'),(60, 0.0, 0, 'dark_water'),(90, 0.0, 0, 'dark_water'),(120, 0.0, 0, 'dark_water'),(150, 0.0, 0, 'dark_water'),
(15.0, 8.6, 0, 'dark_water'),(45.0, 8.6, 0, 'dark_water'),(75.0, 8.6, 0, 'dark_water'),(105.0, 8.6, 0, 'dark_water'),(135.0, 8.6, 0, 'dark_water'),(165.0, 8.6, 0, 'dark_water'),
(0, 17.2, 0, 'dark_water'),(30, 17.2, 0, 'dark_water'),(60, 17.2, 0, 'dark_water'),(90, 17.2, 9.364607334136963, 'dark_water'),(120, 17.2, 0.9820640087127686, 'dark_water'),(150, 17.2, 0, 'dark_water'),
(15.0, 25.799999999999997, 0, 'dark_water'),(45.0, 25.799999999999997, 0, 'dark_water'),(75.0, 25.799999999999997, 19.854401350021362, 'water'),(105.0, 25.799999999999997, 17.99694299697876, 'water'),(135.0, 25.799999999999997, 3.1626248359680176, 'dark_water'),(165.0, 25.799999999999997, 0, 'dark_water'),
(0, 34.4, 0, 'dark_water'),(30, 34.4, 0, 'dark_water'),(60, 34.4, 10.867327451705933, 'water'),(90, 34.4, 25.664931535720825, 'grass'),(120, 34.4, 21.139118671417236, 'sand'),(150, 34.4, 10.077095031738281, 'water'),
(15.0, 43.0, 0, 'dark_water'),(45.0, 43.0, 3.964759111404419, 'dark_water'),(75.0, 43.0, 30.855778455734253, 'grass'),(105.0, 43.0, 24.580743312835693, 'sand'),(135.0, 43.0, 29.88369584083557, 'grass'),(165.0, 43.0, 0, 'dark_water'),
(0, 51.599999999999994, 0, 'dark_water'),(30, 51.599999999999994, 0, 'dark_water'),(60, 51.599999999999994, 31.9825941324234, 'grass'),(90, 51.599999999999994, 34.070677757263184, 'grass'),(120, 51.599999999999994, 33.24105620384216, 'grass'),(150, 51.599999999999994, 28.366066217422485, 'grass'),
(15.0, 60.199999999999996, 0, 'dark_water'),(45.0, 60.199999999999996, 21.599380373954773, 'sand'),(75.0, 60.199999999999996, 37.334343641996384, 'grass'),(105.0, 60.199999999999996, 34.618054032325745, 'grass'),(135.0, 60.199999999999996, 36.824864745140076, 'grass'),(165.0, 60.199999999999996, 1.9792914390563965, 'dark_water'),
(0, 68.8, 0, 'dark_water'),(30, 68.8, 1.4331865310668945, 'dark_water'),(60, 68.8, 42.73308277130127, 'dark_grass'),(90, 68.8, 46.74343205988407, 'dark_grass'),(120, 68.8, 43.35363328456879, 'dark_grass'),(150, 68.8, 30.738941431045532, 'grass'),
(15.0, 77.39999999999999, 0, 'dark_water'),(45.0, 77.39999999999999, 41.61641299724579, 'dark_grass'),(75.0, 77.39999999999999, 51.0595728456974, 'dark_grass'),(105.0, 77.39999999999999, 50.599291138350964, 'dark_grass'),(135.0, 77.39999999999999, 44.45253252983093, 'dark_grass'),(165.0, 77.39999999999999, 4.019966125488281, 'dark_water'),
(0, 86.0, 0, 'dark_water'),(30, 86.0, 18.064781427383423, 'water'),(60, 86.0, 57.412746995687485, 'dark_grass'),(90, 86.0, 54.53921458683908, 'dark_grass'),(120, 86.0, 53.199829906225204, 'dark_grass'),(150, 86.0, 26.779396533966064, 'grass'),
