(0, 0.0, 0, 'dark_water'),(30, 0.0, 0, 'dark_water'),(60, 0.0, 0, 'dark_water'),(90, 0.0, 0, 'dark_water'),(120, 0.0, 0, 'dark_water'),(150, 0.0, 0, 'dark_water'),
(15.0, 8.6, 0, 'dark_water'),(45.0, 8.6, 0, 'dark_water'),(75.0, 8.6, 0, 'dark_water'),(105.0, 8.6, 0, 'dark_water'),(135.0, 8.6, 0, 'dark_water'),(165.0, 8.6, 0, 'dark_water'),
(0, 17.2, 0, 'dark_water'),(30, 17.2, 0, 'dark_water'),(60, 17.2, 0, 'dark_water'),(90, 17.2, 1.1984431743621826, 'dark_water'),(120, 17.2, 0, 'dark_water'),(150, 17.2, 0, 'dark_water'),
(15.0, 25.799999999999997, 0, 'dark_water'),(45.0, 25.799999999999997, 0, 'dark_water'),(75.0, 25.799999999999997, 13.58710527420044, 'water'),(105.0, 25.799999999999997, 25.169795751571655, 'grass'),(135.0, 25.799999999999997, 0, 'dark_water'),(165.0, 25.799999999999997, 0, 'dark_water'),
(0, 34.4, 0, 'dark_water'),(30, 34.4, 0, 'dark_water'),(60, 34.4, 24.097065925598145, 'sand'),(90, 34.4, 32.86557197570801, 'grass'),(120, 34.4, 34.88159537315369, 'grass'),(150, 34.4, 0, 'dark_water'),
(15.0, 43.0, 0, 'dark_water'),(45.0, 43.0, 28.872084617614746, 'grass'),(75.0, 43.0, 40.97501277923584, 'dark_grass'),(105.0, 43.0, 49.72187519073486, 'dark_grass'),(135.0, 43.0, 28.414288759231567, 'grass'),(165.0, 43.0, 0, 'dark_water'),
(0, 51.599999999999994, 0, 'dark_water'),(30, 51.599999999999994, 20.97177743911743, 'sand'),(60, 51.599999999999994, 52.603155970573425, 'dark_grass'),(90, 51.599999999999994, 57.75416135787964, 'dark_grass'),(120, 51.599999999999994, 56.06670141220093, 'dark_grass'),(150, 51.599999999999994, 27.84666895866394, 'grass'),
(15.0, 60.199999999999996, 0, 'dark_water'),(45.0, 60.199999999999996, 49.04753386974335, 'dark_grass'),(75.0, 60.199999999999996, 60.316569060087204, 'rocky'),(105.0, 60.199999999999996, 61.01073682308197, 'rocky'),(135.0, 60.199999999999996, 51.11781656742096, 'dark_grass'),(165.0, 60.199999999999996, 18.22810649871826, 'water'),
(0, 68.8, 0, 'dark_water'),(30, 68.8, 34.54950928688049, 'grass'),(60, 68.8, 65.05961537361145, 'rocky'),(90, 68.8, 67.89093352854252, 'rocky'),(120, 68.8, 64.97858583927155, 'rocky'),(150, 68.8, 39.51822280883789, 'grass'),
(15.0, 77.39999999999999, 8.933075666427612, 'dark_water'),(45.0, 77.39999999999999, 55.87544023990631, 'dark_grass'),(75.0, 77.39999999999999, 74.55047741532326, 'snowy'),(105.0, 77.39999999999999, 69.11635380238295, 'rocky'),(135.0, 77.39999999999999, 55.500619411468506, 'dark_grass'),(165.0, 77.39999999999999, 23.161046504974365, 'sand'),
(0, 86.0, 0, 'dark_water'),(30, 86.0, 41.357914209365845, 'dark_grass'),(60, 86.0, 70.72038039565086, 'snowy'),(90, 86.0, 81.08487627469003, 'snowy'),(120, 86.0, 72.16092333197594, 'snowy'),(150, 86.0, 44.047919511795044, 'dark_grass'),
(15.0, 94.6, 14.011577367782593, 'water'),(45.0, 94.6, 61.16986334323883, 'rocky'),(75.0, 94.6, 77.78761547058821, 'snowy'),(105.0, 94.6, 80.32287516631186, 'snowy'),(135.0, 94.6, 64.28755402565002, 'rocky'),(165.0, 94.6, 36.449092626571655, 'grass'),
(0, 103.19999999999999, 0, 'dark_water'),(30, 103.19999999999999, 42.24333643913269, 'dark_grass'),(60, 103.19999999999999, 73.62660840153694, 'snowy'),(90, 103.19999999999999, 79.08476710086688, 'snowy'),(120, 103.19999999999999, 80.30582182109356, 'snowy'),(150, 103.19999999999999, 45.20442724227905, 'dark_grass'),
(15.0, 111.8, 4.035201072692871, 'dark_water'),(45.0, 111.8, 54.933534264564514, 'dark_grass'),(75.0, 111.8, 76.19649969041348, 'snowy'),(105.0, 111.8, 80.2187847532332, 'snowy'),(135.0, 111.8, 63.26967716217041, 'rocky'),(165.0, 111.8, 26.270359754562378, 'grass'),
(0, 120.39999999999999, 0, 'dark_water'),(30, 120.39999999999999, 26.6265606880188, 'grass'),(60, 120.39999999999999, 60.661204755306244, 'rocky'),(90, 120.39999999999999, 77.95718293637037, 'snowy'),(120, 120.39999999999999, 73.92800956964493, 'snowy'),(150, 120.39999999999999, 44.30156350135803, 'dark_grass'),
(15.0, 129.0, 0, 'dark_water'),(45.0, 129.0, 47.29356229305267, 'dark_grass'),(75.0, 129.0, 61.75162732601166, 'rocky'),(105.0, 129.0, 75.91662660241127, 'snowy'),(135.0, 129.0, 57.21988141536713, 'dark_grass'),(165.0, 129.0, 21.789321899414062, 'sand'),
(0, 137.6, 0, 'dark_water'),(30, 137.6, 11.792449951171875, 'water'),(60, 137.6, 57.684924602508545, 'dark_grass'),(90, 137.6, 61.926310658454895, 'rocky'),(120, 137.6, 63.01875293254852, 'rocky'),(150, 137.6, 42.04464912414551, 'dark_grass'),
(15.0, 146.2, 0, 'dark_water'),(45.0, 146.2, 36.52657985687256, 'grass'),(75.0, 146.2, 56.418086886405945, 'dark_grass'),(105.0, 146.2, 55.355482399463654, 'dark_grass'),(135.0, 146.2, 46.556716561317444, 'dark_grass'),(165.0, 146.2, 5.572772026062012, 'dark_water'),
(0, 154.79999999999998, 0, 'dark_water'),(30, 154.79999999999998, 0, 'dark_water'),(60, 154.79999999999998, 38.29487085342407, 'grass'),(90, 154.79999999999998, 47.5627738237381, 'dark_grass'),(120, 154.79999999999998, 47.17861354351044, 'dark_grass'),(150, 154.79999999999998, 18.062918186187744, 'water'),
(15.0, 163.4, 0, 'dark_water'),(45.0, 163.4, 8.762598037719727, 'dark_water'),(75.0, 163.4, 33.81317496299744, 'grass'),(105.0, 163.4, 36.97454810142517, 'grass'),(135.0, 163.4, 22.63843059539795, 'sand'),(165.0, 163.4, 0, 'dark_water'),
(0, 172.0, 0, 'dark_water'),(30, 172.0, 0, 'dark_water'),(60, 172.0, 9.78966236114502, 'dark_water'),(90, 172.0, 27.571667432785034, 'grass'),(120, 172.0, 18.16200613975525, 'water'),(150, 172.0, 0, 'dark_water'),
(15.0, 180.6, 0, 'dark_water'),(45.0, 180.6, 0, 'dark_water'),(75.0, 180.6, 5.2753472328186035, 'dark_water'),(105.0, 180.6, 6.1138200759887695, 'dark_water'),(135.0, 180.6, 0, 'dark_water'),(165.0, 180.6, 0, 'dark_water'),
