(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(0.0, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(30.099999999999998, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(60.199999999999996, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0.17983675003051758)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(90.3, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(120.39999999999999, 0)
(150.5, 0)
(150.5, 0)
(150.5, 0)
(150.5, 0)
(150.5, 0)
(150.5, 0)
(150.5, 0)
(150.5, 0)
(150.5, 1.0380399227142334)
(150.5, 0.024132728576660156)
(150.5, 0)
(150.5, 0)
(150.5, 0)
