(0, 0.0, 0, 'dark_water'),(30, 0.0, 0, 'dark_water'),(60, 0.0, 0, 'dark_water'),(90, 0.0, 0, 'dark_water'),(120, 0.0, 0, 'dark_water'),(150, 0.0, 0, 'dark_water'),(180, 0.0, 0, 'dark_water'),
(15.0, 8.6, 0, 'dark_water'),(45.0, 8.6, 0, 'dark_water'),(75.0, 8.6, 0, 'dark_water'),(105.0, 8.6, 0, 'dark_water'),(135.0, 8.6, 0, 'dark_water'),(165.0, 8.6, 0, 'dark_water'),(195.0, 8.6, 0, 'dark_water'),
(0, 17.2, 0, 'dark_water'),(30, 17.2, 0, 'dark_water'),(60, 17.2, 0, 'dark_water'),(90, 17.2, 0, 'dark_water'),(120, 17.2, 0, 'dark_water'),(150, 17.2, 0, 'dark_water'),(180, 17.2, 0, 'dark_water'),
(15.0, 25.799999999999997, 0, 'dark_water'),(45.0, 25.799999999999997, 0, 'dark_water'),(75.0, 25.799999999999997, 4.111683368682861, 'dark_water'),(105.0, 25.799999999999997, 11.524018049240112, 'water'),(135.0, 25.799999999999997, 5.108824968338013, 'dark_water'),(165.0, 25.799999999999997, 0, 'dark_water'),(195.0, 25.799999999999997, 0, 'dark_water'),
(0, 34.4, 0, 'dark_water'),(30, 34.4, 0, 'dark_water'),(60, 34.4, 17.410351037979126, 'water'),(90, 34.4, 24.448113441467285, 'sand'),(120, 34.4, 17.663934230804443, 'water'),(150, 34.4, 0, 'dark_water'),(180, 34.4, 0, 'dark_water'),
(15.0, 43.0, 0, 'dark_water'),(45.0, 43.0, 26.563832759857178, 'grass'),(75.0, 43.0, 28.92932653427124, 'grass'),(105.0, 43.0, 29.168107509613037, 'grass'),(135.0, 43.0, 16.38719916343689, 'water'),(165.0, 43.0, 0, 'dark_water'),(195.0, 43.0, 0, 'dark_water'),
(0, 51.599999999999994, 0, 'dark_water'),(30, 51.599999999999994, 24.50956106185913, 'sand'),(60, 51.599999999999994, 38.235095143318176, 'grass'),(90, 51.599999999999994, 41.426074504852295, 'dark_grass'),(120, 51.599999999999994, 32.302390336990356, 'grass'),(150, 51.599999999999994, 11.403172016143799, 'water'),(180, 51.599999999999994, 0, 'dark_water'),
(15.0, 60.199999999999996, 9.644472599029541, 'dark_water'),(45.0, 60.199999999999996, 43.92695367336273, 'dark_grass'),(75.0, 60.199999999999996, 46.51205465197563, 'dark_grass'),(105.0, 60.199999999999996, 46.62753403186798, 'dark_grass'),(135.0, 60.199999999999996, 32.74033606052399, 'grass'),(165.0, 60.199999999999996, 3.4338784217834473, 'dark_water'),(195.0, 60.199999999999996, 0, 'dark_water'),
(0, 68.8, 0, 'dark_water'),(30, 68.8, 33.38251233100891, 'grass'),(60, 68.8, 54.64152216911316, 'dark_grass'),(90, 68.8, 56.56822420656681, 'dark_grass'),(120, 68.8, 46.83927118778229, 'dark_grass'),(150, 68.8, 21.959599256515503, 'sand'),(180, 68.8, 0, 'dark_water'),
(15.0, 77.39999999999999, 15.145972967147827, 'water'),(45.0, 77.39999999999999, 51.933422684669495, 'dark_grass'),(75.0, 77.39999999999999, 61.44621267914772, 'rocky'),(105.0, 77.39999999999999, 59.92401581257582, 'dark_grass'),(135.0, 77.39999999999999, 40.47808527946472, 'dark_grass'),(165.0, 77.39999999999999, 12.087764739990234, 'water'),(195.0, 77.39999999999999, 0, 'dark_water'),
(0, 86.0, 0, 'dark_water'),(30, 86.0, 37.00781464576721, 'grass'),(60, 86.0, 58.85288581252098, 'dark_grass'),(90, 86.0, 68.2587458845228, 'rocky'),(120, 86.0, 53.56905922293663, 'dark_grass'),(150, 86.0, 27.343361377716064, 'grass'),(180, 86.0, 0, 'dark_water'),
